Manipulation_strings,Water_experiments
"Mowed, tillage",
Mowing,
No-till,
"No-till, fallow",
"No-till, fertilized",
"No-till, litter manipulation",
"No-till, residue retention",
"No-till, warmed",
None,
O3,
Organic farm,
Other,
Percipitation amount change,
Pesticide,
Plant mix,
Plant residue,
"Plantation, litter, roots excluded",
"Plantation, roots excluded",
Planted,
Ploughed,
"Ploughed, Harrowed",
Plowed,
"Plowed, fertilized, insecticide, herbicide",
Precipitation amount change,X
"Precipitation amount change, fertilized",
"Precipitation amount change, warmed",
Precipitation timing change,
Pruned,
Reclaimed mine soil,
Reduced tillage,
"Reduced tillage, cover crop",
"Reduced tillage, litter manipulation",
Ridged,
"Ridged, fertilized",
"Ridged, irrigated, fertilized, herbicide",
"Ridged, litter manipulation",
"Ridged, litter manipulation, decomposing Inoculants",
"Ridged, litter manipulation, fertilized",
Root excluded,
Rotary tillage,
Rotation,
"Rotation, no-till",
"Rotovated, ploughed",
Scalped,
Scarified,
Shading,
"Shading, fertilized",
"Shading, irrigated",
Sludge,
Snow addition,
Snow fence,
Snow reduction,
Soil amendment,
Soil disturbance,
Spaded,
Species added,
"Species added, insecticide",
Stubble cultivation,
"Stump removal, bladed",
"Stump removed, stumped",
Thinned,
"Thinned, bedded, fertilized",
"Thinned, burned",
"Thinned, fertilized",
"Thinned, irrigation, fertilized",
"Thinned, litter manipulation",
"Thinned, soil removal",
Throughfall reduction,X
Throughfall reduction; warmed,
Trench,
Ultraviolet radiation,
Understory removal,
"Understory removal, C. alata addition",
"Understory removal, fertilization",
Understory removed,
"Undrained, planted",
"Undrained, unplanted",
UVB,
"UVB, litter manipulation",
Vegetation control,
"Vegetation replacement, fertilization",
Warmed,
"Warmed, clipped",
"Warmed, CO2",
"Warmed, drought",
"Warmed, drought, CO2",
"Warmed, fertilized",
"Warmed, irrigation",
"Warmed, litter manipulation",
"Warmed, precipitation amount change",
"Warmed, Precipitation amount change",
"Warmed, wetted",
Weed control,
"Weed control, fertilized",
"Weed control, irrigated",
"Weed control, irrigated, fertilized",
"Weed control, irrigated, fertilized, pest control",
"Weed control, litter manipulation",
"Weed control, no-till",
"Weed control, reduced tillage",
Wetted,X
"Wetted, fungicide",
"Wetted, substrate addition",
Woody adelgid infestation,
